Season,Episode,Episode(overall),Title,Directed by,Written by,Original Air date,US viewers(millions)
4,16,51,A,Michelle MacLaren,Scott M. Gimple & Angela Kang,3/30/2014,15.68
5,1,52,No Sanctuary,Greg Nicotero,Scott M. Gimple,10/12/2014,17.29
5,2,53,Strangers,David Boyd,Robert Kirkman,10/19/2014,15.14
5,3,54,Four Walls and a Roof,Jeffrey F. January,Angela Kang & Corey Reed,10/26/2014,13.8
5,4,55,Slabtown,Michael E. Satrazemis,Matthew Negrete & Channing Powell,11/2/2014,14.52
5,5,56,Self Help,Ernest Dickerson,Heather Bellson & Seth Hoffman,11/9/2014,13.53
5,6,57,Consumed,Seith Mann,Matthew Negrete & Corey Reed,11/16/2014,14.07
5,7,58,Crossed,Billy Gierhart,Seth Hoffman,11/23/2014,13.33
5,8,59,Coda,Ernest Dickerson,Angela Kang,11/30/2014,14.81
5,9,60,What Happened and What's Going On,Greg Nicotero,Scott M. Gimple,2/8/2015,15.64
5,10,61,Them,Julius Ramsay,Heather Bellson,2/15/2015,12.27
5,11,62,The Distance,Larysa Kondracki,Seth Hoffman,2/22/2015,13.44
5,12,63,Remember,Greg Nicotero,Channing Powell,3/1/2015,14.43
5,13,64,Forget,David Boyd,Corey Reed,3/8/2015,14.53
5,14,65,Spend,Jennifer Lynch,Matthew Negrete,3/15/2015,13.78
5,15,66,Try,Michael E. Satrazemis,Angela Kang,3/22/2015,13.76
5,16,67,Conquer,Greg Nicotero,Scott M. Gimple & Seth Hoffman,3/29/2015,15.78
6,1,68,First Time Again,Greg Nicotero,Scott M. Gimple & Matthew Negrete,10/11/2015,14.63
6,2,69,JSS,Jennifer Lynch,Seth Hoffman,10/18/2015,12.18
6,3,70,Thank You,Michael Slovis,Angela Kang,10/25/2015,13.14
6,4,71,Here's Not Here,Stephen Williams,Scott M. Gimple,11/1/2015,13.34
6,5,72,Now,Avi Youabian,Corey Reed,11/8/2015,12.44
6,6,73,Always Accountable,Jeffrey F. January,Heather Bellson,11/15/2015,12.87
